row_id,source_dataset,pws_id,system_name,notice_type,notice_status,latitude,longitude
1,ADEC open boil-water/do-not-drink notices,AK2121123   ,PORT PROTECTION,Open notice,NA,56.3211463567883,-133.59914539517197
2,ADEC open boil-water/do-not-drink notices,AK2121026   ,KNUDSON COVE MARINA,Open notice,NA,55.471457620134494,-131.79619080700002
3,ADEC open boil-water/do-not-drink notices,AK2110855   ,HAINES FERRY TERMINAL,Open notice,NA,59.27889203049571,-135.47674615355902
4,ADEC open boil-water/do-not-drink notices,AK2272756   ,MERTARVIK WATER SYSTEM,Open notice,NA,60.8217543419113,-164.501261756034
5,ADEC open boil-water/do-not-drink notices,AK2271025   ,KONGIGANAK WATER SYSTEM,Open notice,NA,59.9713096831759,-162.85333141730905
6,ADEC open boil-water/do-not-drink notices,AK2270362   ,ALAKANUK WATER SYSTEM,Open notice,NA,62.68608911981939,-164.66330303622098
7,ADEC open boil-water/do-not-drink notices,AK2260595   ,ADAK UTILITIES,Open notice,NA,51.823061845870804,-176.676122873976
8,ADEC open boil-water/do-not-drink notices,AK2211075   ,OW DIMOND ESTATES TRAILER COURT,Open notice,NA,61.140664641670796,-149.90521799110698
9,ADEC open boil-water/do-not-drink notices,AK2211075   ,OW DIMOND ESTATES TRAILER COURT,Open notice,NA,61.140592641608805,-149.90562699105197
10,ADEC open boil-water/do-not-drink notices,AK2263066   ,KAKO RETREAT CENTER,Open notice,NA,61.90062971222849,-161.444882846703
11,ADEC open boil-water/do-not-drink notices,AK2263066   ,KAKO RETREAT CENTER,Open notice,NA,61.901315712378405,-161.44352684733903
12,ADEC open boil-water/do-not-drink notices,AK2271059   ,PLATINUM CITY WATER SYSTEM,Open notice,NA,59.006799937876,-161.812680959457
13,ADEC open boil-water/do-not-drink notices,AK2271700   ,KWIGILLINGOK WASHETERIA,Open notice,NA,59.88402164389009,-163.16841332912
14,ADEC open boil-water/do-not-drink notices,AK2250087   ,KARLUK WATER SYSTEM,Open notice,NA,57.5608901791667,-154.44205569619595
15,ADEC open boil-water/do-not-drink notices,AK2250053   ,OUZINKIE WATER SYSTEM,Open notice,NA,57.92086345475429,-152.45586195888302
16,ADEC open boil-water/do-not-drink notices,AK2260278   ,NIKOLSKI VILLAGE,Open notice,NA,52.93465962799829,-168.871357428188
17,ADEC open boil-water/do-not-drink notices,AK2260163   ,PILOT STATION WATER SYSTEM,Open notice,NA,61.94060047956479,-162.88221971428405
18,ADEC open boil-water/do-not-drink notices,AK2260163   ,PILOT STATION WATER SYSTEM,Open notice,NA,61.94060047956479,-162.88221971428405
19,ADEC open boil-water/do-not-drink notices,AK2270184   ,SCAMMON BAY WATER SYSTEM,Open notice,NA,61.8389540649574,-165.58588229580195
20,ADEC open boil-water/do-not-drink notices,AK2260032   ,TWIN HILLS WATER SYSTEM,Open notice,NA,59.07684016373839,-160.28039114434196
21,ADEC open boil-water/do-not-drink notices,AK2260032   ,TWIN HILLS WATER SYSTEM,Open notice,NA,59.07692016365459,-160.28089114434297
22,ADEC open boil-water/do-not-drink notices,AK2260804   ,NELSON LAGOON WATER SYSTEM,Open notice,NA,55.95034528929429,-161.459872444213
23,ADEC open boil-water/do-not-drink notices,AK2313233   ,WHITE BIRCH APARTMENTS,Open notice,NA,64.77060084746309,-147.32093495767506
24,ADEC open boil-water/do-not-drink notices,AK2300272   ,HUGHES PUBLIC WATER SUPPLY,Open notice,NA,66.0461215515586,-154.25782006553
25,ADEC open boil-water/do-not-drink notices,AK2340442   ,SHAKTOOLIK WATER SYSTEM,Open notice,NA,64.3542495169437,-161.19144783108405
26,ADEC open boil-water/do-not-drink notices,AK2340442   ,SHAKTOOLIK WATER SYSTEM,Open notice,NA,64.3355895239725,-161.15991281815
27,ADEC open boil-water/do-not-drink notices,AK2360256   ,FT. YUKON PUBLIC WATER SYSTEM,Open notice,NA,66.56232410365968,-145.24422176910394
28,ADEC open boil-water/do-not-drink notices,AK2360256   ,FT. YUKON PUBLIC WATER SYSTEM,Open notice,NA,66.56232410366549,-145.24418876910295
29,ADEC open boil-water/do-not-drink notices,AK2340141   ,DIOMEDE JOINT UTILITIES,Open notice,NA,65.7540900949912,-168.94619195915098
30,ADEC open boil-water/do-not-drink notices,AK2340492   ,STEBBINS CITY WATER SUPPLY,Open notice,NA,63.49689742905749,-162.23120498114096
31,ADEC open boil-water/do-not-drink notices,AK2320426   ,NSBU - POINT HOPE,Open notice,NA,68.3419272181094,-166.49974524987695
32,ADEC open boil-water/do-not-drink notices,AK2360141   ,KALTAG PUBLIC WATER SYSTEM,Open notice,NA,64.3321089287328,-158.73887206346097
33,ADEC open boil-water/do-not-drink notices,AK2360141   ,KALTAG PUBLIC WATER SYSTEM,Open notice,NA,64.3326389289427,-158.737338064076
34,ADEC open boil-water/do-not-drink notices,AK2360230   ,BEAVER WATER SYSTEM,Open notice,NA,66.35823573515638,-147.39718657824403
35,ADEC open boil-water/do-not-drink notices,AK2340167   ,KOYUK PUBLIC WATER SYSTEM,Open notice,NA,64.9380894639995,-161.17369536342096
36,ADEC open boil-water/do-not-drink notices,AK2340167   ,KOYUK PUBLIC WATER SYSTEM,Open notice,NA,64.93832946392631,-161.17399536360998
37,ADEC open boil-water/do-not-drink notices,AK2340167   ,KOYUK PUBLIC WATER SYSTEM,Open notice,NA,64.932099466452,-161.16248535913402
38,ADEC open boil-water/do-not-drink notices,AK2130017   ,ANGOON PUBLIC WATER,Open notice,NA,57.458591207749194,-134.522053051688
39,ADEC open boil-water/do-not-drink notices,AK2111564   ,PYBUS POINT LODGE,Open notice,NA,57.28657526685801,-134.14112092457597
40,ADEC open boil-water/do-not-drink notices,AK2247953   ,KACHEMAK SELO #3,Open notice,NA,59.802941543837996,-151.06003208796702
41,ADEC open boil-water/do-not-drink notices,AK2240503   ,HIGHLAND PRIDE MOBILE HOME PARK,Open notice,NA,60.54180149023779,-151.084422563706
42,ADEC open boil-water/do-not-drink notices,AK2260074   ,SAINT GEORGE WATER SYSTEM,Open notice,NA,56.5956390906746,-169.53552377936896
43,ADEC open boil-water/do-not-drink notices,AK2260074   ,SAINT GEORGE WATER SYSTEM,Open notice,NA,56.5958530909066,-169.53363577974193
44,ADEC open boil-water/do-not-drink notices,AK2260074   ,SAINT GEORGE WATER SYSTEM,Open notice,NA,56.5956660908074,-169.53452877952697
45,ADEC open boil-water/do-not-drink notices,AK2260074   ,SAINT GEORGE WATER SYSTEM,Open notice,NA,56.596063091009704,-169.53269377997498
46,ADEC open boil-water/do-not-drink notices,AK2280066   ,GRAYLING WATER SYSTEM,Open notice,NA,62.90612983885911,-160.068763742495
47,ADEC open boil-water/do-not-drink notices,AK2261096   ,CHIGNIK LAKE WATER SYSTEM,Open notice,NA,56.2535596474376,-158.763748801235
48,ADEC open boil-water/do-not-drink notices,AK2272000   ,ALASKA AIRLINES BETHEL,Open notice,NA,60.78379075892931,-161.83954503991697
49,ADEC open boil-water/do-not-drink notices,AK2218778   ,ALASKA WILDLIFE CENTER,Open notice,NA,60.82172381162209,-148.984279779402
50,ADEC open boil-water/do-not-drink notices,AK2311184   ,BADGER DEN,Open notice,NA,64.83493181186358,-147.50381602009
51,ADEC open boil-water/do-not-drink notices,AK2340379   ,SELAWIK SAFEWATER FACILITY,Open notice,NA,66.6032815055129,-160.00835217654696
52,ADEC open boil-water/do-not-drink notices,AK2300214   ,AMBLER COMMUNITY WATER SYSTEM,Open notice,NA,67.08541983634339,-157.85417594008
53,ADEC open boil-water/do-not-drink notices,AK2299036   ,KING FOR A DAY,Open notice,NA,61.9521823478922,-145.31853355061202
54,ADEC open boil-water/do-not-drink notices,AK2240464   ,NANWALEK,Open notice,NA,59.35673144038229,-151.90618179390597
55,ADEC open boil-water/do-not-drink notices,AK2240464   ,NANWALEK,Open notice,NA,59.35462143894358,-151.91625179236695
56,ADEC open boil-water/do-not-drink notices,AK2210794   ,FOREST PARK TC,Open notice,NA,61.36968169249819,-149.50392315675998
57,ADEC open boil-water/do-not-drink notices,AK2213239   ,BEAR MOUNTAIN CONDO ASSN.,Open notice,NA,61.3969566980977,-149.45910317658598
58,ADEC open boil-water/do-not-drink notices,AK2260503   ,USAF KING SALMON,Open notice,NA,58.6896807521999,-156.65808119515498
59,ADEC open boil-water/do-not-drink notices,AK2260503   ,USAF KING SALMON,Open notice,NA,58.69310075005011,-156.67024119634695
60,ADEC open boil-water/do-not-drink notices,AK2263006   ,KOKHANOK WATER & WW SYSTEM,Open notice,NA,59.45054098522599,-154.76117174405297
61,ADEC open boil-water/do-not-drink notices,AK2260511   ,USAF EARECKSON,Open notice,NA,52.71703169984409,174.11511173712097
62,ADEC open boil-water/do-not-drink notices,AK2260511   ,USAF EARECKSON,Open notice,NA,52.71703169984409,174.11511173712097
63,ADEC open boil-water/do-not-drink notices,AK2261630   ,BRISTOL BAY LODGE,Open notice,NA,59.43410633607271,-158.94297346624597
64,ADEC open boil-water/do-not-drink notices,AK2262660   ,D & D RESTAURANT,Open notice,NA,58.7274156936316,-157.01931019394297
65,ADEC open boil-water/do-not-drink notices,AK2270150   ,MOUNTAIN VILLAGE WATER SYSTEM,Open notice,NA,62.083989331164595,-163.72660271461697
66,ADEC open boil-water/do-not-drink notices,AK2270150   ,MOUNTAIN VILLAGE WATER SYSTEM,Open notice,NA,62.09061132865791,-163.73812771794402
67,ADEC open boil-water/do-not-drink notices,AK2270150   ,MOUNTAIN VILLAGE WATER SYSTEM,Open notice,NA,62.08631533138101,-163.72372071665197
68,ADEC open boil-water/do-not-drink notices,AK2270150   ,MOUNTAIN VILLAGE WATER SYSTEM,Open notice,NA,62.08992833005941,-163.729717718504
69,ADEC open boil-water/do-not-drink notices,AK2270150   ,MOUNTAIN VILLAGE WATER SYSTEM,Open notice,NA,62.087041331424,-163.72297571726799
70,ADEC open boil-water/do-not-drink notices,AK2271874   ,NATIVE VILLAGE OF SLEETMUTE,Open notice,NA,61.6937104177433,-157.175123077927
71,ADEC open boil-water/do-not-drink notices,AK2271874   ,NATIVE VILLAGE OF SLEETMUTE,Open notice,NA,61.6937104177627,-157.175003077936
72,ADEC open boil-water/do-not-drink notices,AK2271211   ,TUNTUTULIAK WASHETERIA AND WATERING PT,Open notice,NA,60.340029674361794,-162.66839166591902
73,ADEC open boil-water/do-not-drink notices,AK2260228   ,CHIGNIK BAY WATER SYSTEM,Open notice,NA,56.2797886957647,-158.41402083816197
74,ADEC open boil-water/do-not-drink notices,AK2261444   ,CHIGNIK LAGOON WATER SYSTEM,Open notice,NA,56.30776467631328,-158.531224843102
75,ADEC open boil-water/do-not-drink notices,AK2261444   ,CHIGNIK LAGOON WATER SYSTEM,Open notice,NA,56.307761676266885,-158.53154684307802
